Isotope	State	Intensity (pps)	Proton current	Ion source	Info
47Ag	Ag117g	2.10E3	35	TRILIS	
47Ag	Ag100m1	1.60E4	35	TRILIS	
47Ag	Ag101m1	7.50E2	35	TRILIS	
47Ag	Ag102m1	9.40E4	35	TRILIS	
47Ag	Ag103m1	9.30E4	35	TRILIS	
47Ag	Ag104m1	1.90E5	35	TRILIS	
47Ag	Ag105m1	7.20E6	35	TRILIS	
47Ag	Ag107m1	1.20E6	35	TRILIS	
47Ag	Ag109m1	3.70E6	35	TRILIS	
47Ag	Ag111m1	4.00E4	35	TRILIS	
47Ag	Ag113m1	1.00E5	35	TRILIS	
47Ag	Ag116m1	1.30E3	35	TRILIS	
47Ag	Ag117m1	3.00E2	35	TRILIS	
55Cs	Cs123g	5.60E7	35	Re surface	
55Cs	Cs123m1	5.70E6	35	Re surface	
49In	In104g	1.20E3	35	Re surface	
49In	In105g	3.20E4	35	Re surface	
49In	In106g	1.60E5	35	Re surface	
49In	In107g	8.40E5	35	Re surface	
49In	In108g	1.50E6	35	Re surface	
49In	In109g	5.40E6	35	Re surface	
49In	In110g	5.70E6	35	Re surface	
49In	In111g	2.20E7	35	Re surface	
49In	In112g	1.60E6	35	Re surface	
49In	In116g	4.20E4	35	Re surface	
56Ba	Ba125g	4.10E5	35	Re surface	
4Be	Be9g	1.10E8	35	TRILIS	
4Be	Be10g	1.10E8	35	TRILIS	
4Be	Be11g	1.90E6	35	TRILIS	
4Be	Be12g	3.00E3	35	TRILIS	
55Cs	Cs118g	1.20E3	35	Re surface	
55Cs	Cs119g	1.70E4	35	Re surface	
55Cs	Cs121g	1.30E6	35	Re surface	
55Cs	Cs122g	6.60E6	35	Re surface	
55Cs	Cs124g	2.20E7	35	Re surface	
55Cs	Cs125g	4.60E7	35	Re surface	
55Cs	Cs126g	2.00E7	35	Re surface	
55Cs	Cs119m1	2.20E4	35	Re surface	
55Cs	Cs120m1	2.50E5	35	Re surface	
55Cs	Cs121m1	1.70E6	35	Re surface	
55Cs	Cs122m1	9.50E5	35	Re surface	
55Cs	Cs124m1	3.60E5	35	Re surface	
49In	In119g	2.10E4	35	Re surface	
49In	In118m1	5.10E4	35	Re surface	
49In	In118m2	1.50E4	35	Re surface	
20Ca	Ca49g	1.10E6	55	Re surface	
20Ca	Ca50g	1.20E5	55	Re surface	
20Ca	Ca51g	7.60E3	55	Re surface	
20Ca	Ca52g	7.50E2	55	Re surface	
19K	K37g	3.30E3	55	Re surface	
19K	K38g	8.20E5	55	Re surface	
19K	K42g	2.80E8	55	Re surface	
19K	K43g	2.90E8	55	Re surface	
19K	K44g	1.20E8	55	Re surface	
19K	K47g	2.40E6	55	Re surface	
19K	K48g	7.90E4	55	Re surface	
19K	K49g	2.60E4	55	Re surface	
19K	K50g	2.90E3	55	Re surface	
19K	K51g	8.30E1	55	Re surface	
19K	K52g	3.00E0	55	Re surface	
19K	K38m1	3.70E4	55	Re surface	
21Sc	Sc50g	2.20E5	55	Re surface	
21Sc	Sc51g	3.30E4	55	Re surface	
21Sc	Sc52g	4.90E3	55	Re surface	
22Ti	Ti51g	2.20E5	55	Re surface	
22Ti	Ti52g	4.50E4	55	Re surface	
58Ce	Ce131g	1.80E6	35	Re surface	
58Ce	Ce131m1	1.10E6	35	Re surface	
58Ce	Ce135m1	5.10E5	35	Re surface	
60Nd	Nd134g	1.50E7	35	Re surface	
60Nd	Nd135g	5.00E7	35	Re surface	
61Pm	Pm134m1	1.60E5	35	Re surface	
61Pm	Pm135m1	2.20E5	35	Re surface	
61Pm	Pm134g	4.60E4	35	Re surface	
61Pm	Pm135g	2.60E5	35	Re surface	
59Pr	Pr131g	5.20E5	35	Re surface	
59Pr	Pr134g	9.40E6	35	Re surface	
59Pr	Pr134m1	2.60E7	35	Re surface	
59Pr	Pr135g	1.60E8	35	Re surface	
62Sm	Sm139m1	2.10E5	10	Re surface	
62Sm	Sm139g	2.90E6	10	Re surface	
69Tm	Tm158g	6.60E8	35	Re surface	
70Yb	Yb158g	4.20E8	35	Re surface	
56Ba	Ba129g	4.80E7	40	Re surface	
